Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link
"Trong game Mê cung, nhân vật người chơi điều khiển là gì?",Multiple Choice,Một quả bóng,Con rùa (turtle),Một chiếc xe,Một ngôi sao,,2,30,
Mục tiêu chính của game Mê cung là gì?,Multiple Choice,Vẽ càng nhiều tường càng tốt,Ăn hết các vật phẩm trên màn hình,Điều khiển rùa tới đích mà không chạm tường,Đua tốc độ với máy,,3,30,
Biến DANH_SACH_TUONG dùng để làm gì?,Multiple Choice,Lưu danh sách các đoạn tường trong mê cung,Lưu điểm số người chơi,Lưu phím bấm của người chơi,Lưu màu nền màn hình,,1,30,
Mỗi phần tử trong DANH_SACH_TUONG thường có dạng nào?,Multiple Choice,Chỉ một số điểm,Hai màu sắc,Một chuỗi tên tường,"Bốn số (x1, y1, x2, y2) — hai đầu đoạn thẳng",,4,30,
Hàm ve_tuong() có nhiệm vụ gì?,Multiple Choice,Kiểm tra va chạm với tường,Vẽ tất cả tường từ DANH_SACH_TUONG lên màn hình,Di chuyển rùa từng bước,Tăng điểm khi thắng,,2,30,
"Khi vẽ tường, chương trình thường dùng cách nào?",Multiple Choice,Chỉ dùng stamp(),Chỉ dùng circle(),penup → goto điểm đầu → pendown → goto điểm cuối,Chỉ đổi màu nền,,3,30,
Hằng số BUOC trong game Mê cung có nghĩa là gì?,Multiple Choice,Độ dài mỗi lần rùa di chuyển khi bấm phím,Số tường trong mê cung,Thời gian chơi tối đa,Điểm thưởng khi thắng,,1,30,
"Hàm di_chuyen(dx, dy) làm gì?",Multiple Choice,Xóa toàn bộ tường,Vẽ đích đến,Đếm thời gian,Tính vị trí mới và thử di chuyển rùa nếu không chạm tường,,4,30,
"Khi bấm phím mũi tên LÊN, rùa thường thay đổi tọa độ như thế nào?",Multiple Choice,"x tăng, y không đổi","y tăng (đi lên), x không đổi","x giảm, y giảm",Cả x và y đều về 0,,2,30,
"Khi bấm phím mũi tên SANG TRÁI, thay đổi nào đúng?",Multiple Choice,"dx = BUOC, dy = 0","dx = 0, dy = BUOC","dx = -BUOC, dy = 0","dx = 0, dy = -BUOC",,3,30,
"Hàm cham_tuong(x_cu, y_cu, x_moi, y_moi) trả về True nghĩa là gì?",Multiple Choice,Đoạn đường từ chỗ cũ đến chỗ mới CHẠM tường → không cho đi,Rùa đã thắng,Đã hết thời gian,Điểm số tăng thêm 10,,1,30,
Vì sao cham_tuong cần cả vị trí CŨ và vị trí MỚI?,Multiple Choice,Để đổi màu tường,Để vẽ đường đi đẹp hơn,Vì Turtle bắt buộc phải có 4 tham số,"Để kiểm tra cả ĐOẠN ĐƯỜNG, tránh nhảy xuyên tường",,4,30,
Tường NGANG được nhận biết bằng điều kiện nào?,Multiple Choice,x1 == x2,y1 == y2,x1 == y1,x2 == y2,,2,30,
Tường DỌC được nhận biết bằng điều kiện nào?,Multiple Choice,y1 == y2,x1 == y1,x1 == x2 (hai đầu cùng hoành độ),Chỉ khi màu tường là đen,,3,30,
KHOANG_CACH_TUONG (thường = 10) dùng để làm gì?,Multiple Choice,Tạo khoảng đệm vì rùa không phải một chấm nhỏ,Đặt tốc độ animation,Quyết định điểm thưởng,Số lần được va chạm,,1,30,
"Với tường ngang, điều kiện 'cắt tường' thường kiểm tra điều gì?",Multiple Choice,x_moi có bằng 0 không,Màu tường có đổi không,Điểm có tăng không,Độ cao tường y1 có nằm giữa y_cu và y_moi không,,4,30,
"Với tường dọc, điều kiện 'cắt tường' kiểm tra điều gì?",Multiple Choice,y tường nằm giữa y cũ và y mới,Cột tường x1 nằm giữa x_cu và x_moi,Rùa có nhìn về đích không,Thời gian còn lại,,2,30,
Nếu cham_tuong trả về False thì chương trình làm gì?,Multiple Choice,Dừng game ngay,Trừ điểm người chơi,Cho phép rùa goto tới vị trí mới,Vẽ thêm một tường mới,,3,30,
"Nếu chỉ kiểm tra chỗ MỚI mà không kiểm tra đoạn đường, lỗi gì có thể xảy ra?",Multiple Choice,Rùa có thể nhảy xuyên tường khi BUOC lớn,Màn hình sẽ tắt,Rùa không bao giờ thắng,Điểm luôn bằng 0,,1,30,
Đích trong game Mê cung thường được thể hiện bằng gì?,Multiple Choice,Một đoạn tường đỏ,Một vòng tròn nền,Một nút bấm,Một turtle riêng (ví dụ hình ngôi sao) đặt ở vị trí đích,,4,30,
Hàm kiem_tra_thang() thường kiểm tra điều kiện thắng bằng cách nào?,Multiple Choice,So sánh điểm với 100,Khoảng cách từ rùa tới đích nhỏ hơn một ngưỡng (ví dụ < 25),Đếm số tường đã vẽ,Kiểm tra phím Enter,,2,30,
"Khi thắng, điểm thưởng nhanh thường tính theo công thức dạng nào?",Multiple Choice,diem = thoi_gian * 100,diem = số tường * 5,"thuong = max(0, 200 - thoi_gian * 5)",thuong = BUOC + 10,,3,30,
Ý nghĩa của thưởng nhanh trong game là gì?,Multiple Choice,Càng về đích sớm thì điểm thưởng càng cao,Càng chậm càng được nhiều điểm,Chỉ thưởng khi chạm tường,Thưởng cố định không phụ thuộc thời gian,,1,30,
Biến thoi_gian trong game thường dùng để làm gì?,Multiple Choice,Lưu số tường,Lưu màu rùa,Lưu phím vừa bấm,Đếm số giây đã chơi để tính thưởng / hiển thị,,4,30,
Hàm ve_bang() (hoặc tương tự) thường làm gì?,Multiple Choice,Vẽ tường mê cung,Cập nhật hiển thị điểm / thời gian trên màn hình,Kiểm tra va chạm,Khởi tạo turtle đích,,2,30,
"Để nhận phím mũi tên, trong Turtle thường dùng lệnh nào?",Multiple Choice,turtle.draw(),screen.bgcolor(),screen.onkey(...) hoặc onkeypress(...),turtle.clone(),,3,30,
"Sau khi gắn sự kiện phím, cần gọi lệnh nào để bắt đầu lắng nghe?",Multiple Choice,screen.listen(),turtle.hideturtle(),screen.clear(),turtle.bye(),,1,30,
